ShortItemNo    ;Shimanoitem              ;3rd item nr              ;barcode/ean  ;description line 1            ;description line 2                      ;T;  Price;SalesPr;Retail ;CNV;S;Itemgroup                     ;Brand          ;Filename picture                                  ;SaQ;A;
000000000616209;SUNC                     ;SUNC                     ;8717009767859;Sunglass Curado               ;                                        ;2;17.48;34.95;34.95;001;Y;Sunglasses                    ;Shimano        ;20231025_SKU_SUNC.jpg                             ;001;Y;
000000000584153;SUNAER2                  ;SUNAER2                  ;8717009764278;Sunglass Aero                 ;                                        ;2;39.48;78.95;78.95;001;N;Sunglasses                    ;Shimano        ;20231025_SKU_SUNAER2.jpg                          ;001;N;
000000001562662;SULTTEM606B              ;SULTTEM606B              ;8717009846141;SULTTEM60 section 6B          ;                                        ;2;62.67;113.95;113.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562661;SULTTEM605               ;SULTTEM605               ;8717009846134;SULTTEM60 section 5           ;                                        ;2;30.22;54.95;54.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562660;SULTTEM604               ;SULTTEM604               ;8717009846127;SULTTEM60 section 4           ;                                        ;2;24.17;43.95;43.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562659;SULTTEM3                 ;SULTTEM3                 ;8717009846110;SULTTEM60/70 section 3        ;                                        ;2;20.32;36.95;36.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562655;SULTTEH706               ;SULTTEH706               ;8717009846271;SULTTEH70 section 6           ;                                        ;2;41.22;74.95;74.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562654;SULTTEH705               ;SULTTEH705               ;8717009846264;SULTTEH70 section 5           ;                                        ;2;34.62;62.95;62.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562653;SULTTEH704               ;SULTTEH704               ;8717009846257;SULTTEH70 section 4           ;                                        ;2;28.02;50.95;50.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562651;SULTTEH605               ;SULTTEH605               ;8717009846233;SULTTEH60 section 5           ;                                        ;2;32.42;58.95;58.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001562650;SULTTEH604               ;SULTTEH604               ;8717009846226;SULTTEH60 section 4           ;                                        ;2;25.82;46.95;46.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000843913;SULTAXLC120LFD2          ;SULTAXLC120LFD2          ;8717009792684;SULTAXLC120LFDR Section 2     ;                                        ;2;29.12;52.95;52.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001454885;STR6                     ;STR6                     ;8717009851596;STR 1150/1300 Sec. 6          ;                                        ;2;60.47;109.95;109.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;Y;
000000000441653;STR4000SGTMRC            ;STR4000SGTMRC            ;0022255118507;Stradic Spinning              ;4000 GTM RC S                           ;2;89.97;149.95;149.95;001;Y;Rear drag reels               ;Shimano        ;20230926_SKU_STR4000SGTMRC.jpg                    ;001;Y;
000000000839293;STR3                     ;STR3                     ;0022255480765;STR 1300 / 1150 Section 3     ;                                        ;2;31.87;57.95;57.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;Y;
000000000441651;STR2500GTMRC             ;STR2500GTMRC             ;0022255118484;Stradic Spinning              ;2500 GTM RC                             ;2;83.97;139.95;139.95;001;Y;Rear drag reels               ;Shimano        ;20230926_SKU_STR2500GTMRC.jpg                     ;001;Y;
000000000839292;STR2                     ;STR2                     ;0022255480758;STR 1300 / 1150 Section 2     ;                                        ;2;26.92;48.95;48.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000788770;STR1308B                 ;STR1308B                 ;0022255480819;STR 1300 Section 8B           ;                                        ;2;52.77;95.95;95.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000788769;STR1307                  ;STR1307                  ;0022255480802;STR 1300 Section 7            ;                                        ;2;55.52;100.95;100.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
